distance_cm,distance_int,sent_message,received_message,timestamp
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4446cae Data=0000043800000000],2024-07-04 16:10:18
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x44493d3 Data=0000041900000000],2024-07-04 16:10:19
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x444baf9 Data=0000044200000000],2024-07-04 16:10:20
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x444e223 Data=0000040d00000000],2024-07-04 16:10:21
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x445094a Data=0000043800000000],2024-07-04 16:10:22
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[],2024-07-04 16:10:23
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,"[CanalystMessage ID=0x1 TS=0x4453070 Data=0000043800000000, CanalystMessage ID=0x1 TS=0x4455798 Data=0000044200000000]",2024-07-04 16:10:24
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4457ec1 Data=0000043800000000],2024-07-04 16:10:25
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x445a5e5 Data=0000043800000000],2024-07-04 16:10:26
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x445cd0d Data=0000043800000000],2024-07-04 16:10:27
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x445f432 Data=0000044200000000],2024-07-04 16:10:28
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x4461b59 Data=0000044200000000],2024-07-04 16:10:29
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x4464282 Data=0000040d00000000],2024-07-04 16:10:30
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x44669a7 Data=0000043800000000],2024-07-04 16:10:31
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x44690ce Data=0000044200000000],2024-07-04 16:10:32
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x446b7f5 Data=0000041700000000],2024-07-04 16:10:33
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x446df14 Data=000003e400000000],2024-07-04 16:10:34
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x4470642 Data=0000040f00000000],2024-07-04 16:10:35
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x4472d68 Data=0000041900000000],2024-07-04 16:10:36
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x447548e Data=0000040d00000000],2024-07-04 16:10:37
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x4477bb6 Data=0000040f00000000],2024-07-04 16:10:38
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x447a2de Data=0000040d00000000],2024-07-04 16:10:39
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x447ca03 Data=0000041700000000],2024-07-04 16:10:40
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x447f124 Data=000003e400000000],2024-07-04 16:10:41
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x4481853 Data=0000040d00000000],2024-07-04 16:10:42
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x4483f77 Data=0000044200000000],2024-07-04 16:10:43
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[],2024-07-04 16:10:44
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,"[CanalystMessage ID=0x1 TS=0x448669c Data=0000041900000000, CanalystMessage ID=0x1 TS=0x4488dc6 Data=0000043800000000]",2024-07-04 16:10:45
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x448b4eb Data=0000043800000000],2024-07-04 16:10:46
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x448dc12 Data=0000041700000000],2024-07-04 16:10:47
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x449033a Data=0000044200000000],2024-07-04 16:10:48
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4492a5e Data=0000043800000000],2024-07-04 16:10:49
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x4495186 Data=0000043800000000],2024-07-04 16:10:50
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x44978ae Data=0000040f00000000],2024-07-04 16:10:51
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x4499fd2 Data=0000041900000000],2024-07-04 16:10:52
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x449c6fb Data=0000040f00000000],2024-07-04 16:10:53
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x449ee21 Data=0000043800000000],2024-07-04 16:10:54
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x44a154a Data=0000040f00000000],2024-07-04 16:10:55
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x44a3c6f Data=0000041900000000],2024-07-04 16:10:56
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x44a6396 Data=0000043800000000],2024-07-04 16:10:57
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x44a8abb Data=0000040d00000000],2024-07-04 16:10:58
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x44ab1e4 Data=0000040f00000000],2024-07-04 16:10:59
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x44ad908 Data=0000041700000000],2024-07-04 16:11:00
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x44b0030 Data=0000040f00000000],2024-07-04 16:11:01
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x44b274e Data=000003e400000000],2024-07-04 16:11:02
10.06,1006,CanalystMessage ID=0x1 TS=0x0 Data=000003ee00000000,[],2024-07-04 16:11:03
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,"[CanalystMessage ID=0x1 TS=0x44b4e7c Data=000003ee00000000, CanalystMessage ID=0x1 TS=0x44b75a5 Data=0000041700000000]",2024-07-04 16:11:04
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x44b9ccb Data=0000040f00000000],2024-07-04 16:11:05
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x44bc3e9 Data=000003e400000000],2024-07-04 16:11:06
10.06,1006,CanalystMessage ID=0x1 TS=0x0 Data=000003ee00000000,[CanalystMessage ID=0x1 TS=0x44beb17 Data=000003ee00000000],2024-07-04 16:11:07
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x44c1236 Data=000003e400000000],2024-07-04 16:11:08
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x44c395a Data=000003e400000000],2024-07-04 16:11:09
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x44c6088 Data=0000041900000000],2024-07-04 16:11:10
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x44c87b0 Data=0000040f00000000],2024-07-04 16:11:11
11.63,1163,CanalystMessage ID=0x1 TS=0x0 Data=0000048b00000000,[CanalystMessage ID=0x1 TS=0x44caedb Data=0000048b00000000],2024-07-04 16:11:12
